,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,output,probability
0,3,male,34.5,0,0,7.8292,Q,0,0.8131503341323589
1,3,female,47.0,1,0,7.0,S,1,0.5182831017191384
2,2,male,62.0,0,0,9.6875,Q,0,0.7401921238670437
3,3,male,27.0,0,0,8.6625,S,0,0.8169378238714518
4,3,female,22.0,1,1,12.2875,S,1,0.5704435952275738
5,3,male,14.0,0,0,9.225,S,0,0.8045921727767025
6,3,female,30.0,0,0,7.6292,Q,1,0.5244616487674734
7,2,male,26.0,1,1,29.0,S,0,0.6995992924667354
8,3,female,18.0,0,0,7.2292,C,1,0.5337329046370264
9,3,male,21.0,2,0,24.15,S,0,0.7753992081734313
10,3,male,,0,0,7.8958,S,0,0.8441382800924093
11,1,male,46.0,0,0,26.0,S,0,0.6718443749728575
12,1,female,23.0,1,0,82.2667,S,1,0.7421138502715966
13,2,male,63.0,1,0,26.0,S,0,0.7176016927020629
14,1,female,47.0,1,0,61.175,S,1,0.7431659477148035
15,2,female,24.0,1,0,27.7208,C,1,0.70872294536735
16,2,male,35.0,0,0,12.35,Q,0,0.7227527098242701
17,3,male,21.0,0,0,7.225,C,0,0.7743431807569403
18,3,female,27.0,1,0,7.925,S,1,0.5159724667080385
19,3,female,45.0,0,0,7.225,C,1,0.5318054026524832
20,1,male,55.0,1,0,59.4,C,0,0.6163829201707732
21,3,male,9.0,0,1,3.1708,S,0,0.8100713632194284
22,1,female,,0,0,31.6833,S,1,0.7351778447946169
23,1,male,21.0,0,1,61.3792,C,0,0.613497259909112
24,1,female,48.0,1,3,262.375,C,1,0.7375066645467039
25,3,male,50.0,1,0,14.5,S,0,0.8022205707626134
26,1,female,22.0,0,1,61.9792,C,1,0.735646123866852
27,3,male,22.5,0,0,7.225,C,0,0.7744889661093125
28,1,male,41.0,0,0,30.5,S,0,0.6566941957926152
29,3,male,,2,0,21.6792,C,0,0.7536016463778894
30,2,male,50.0,1,0,26.0,S,0,0.7176016927020629
31,2,male,24.0,2,0,31.5,S,0,0.6989630847551231
32,3,female,33.0,1,2,20.575,S,1,0.5786169125128173
33,3,female,,1,2,23.45,S,1,0.585274527415021
34,1,male,30.0,1,0,57.75,C,0,0.6166870142532748
35,3,male,18.5,0,0,7.2292,C,0,0.7654342890462487
36,3,female,,0,0,8.05,S,1,0.513652223094678
37,3,female,21.0,0,0,8.6625,S,1,0.516676352709855
38,3,male,25.0,0,0,9.5,S,0,0.811177521953376
39,3,male,,0,0,56.4958,S,0,0.7593435520931224
40,3,male,39.0,0,1,13.4167,C,0,0.7627458960554752
41,1,male,,0,0,26.55,S,0,0.658213340338055
42,3,male,41.0,0,0,7.85,S,0,0.8344334268711984
43,2,female,30.0,0,0,13.0,S,1,0.6834990604348854
44,1,female,45.0,1,0,52.5542,S,1,0.7425668486157044
45,3,male,25.0,0,0,7.925,S,0,0.8182543705026457
46,1,male,45.0,0,0,29.7,C,0,0.6315022273960228
47,3,male,,0,0,7.75,Q,0,0.8176182686176263
48,1,female,60.0,0,0,76.2917,C,1,0.7375066645467039
49,3,female,36.0,0,2,15.9,S,1,0.5767513207131783
50,1,male,24.0,1,0,60.0,S,0,0.6395488711058746
51,2,male,27.0,0,0,15.0333,C,0,0.69884879757153
52,2,female,20.0,2,1,23.0,S,1,0.6942964691904447
53,1,female,28.0,3,2,263.0,S,1,0.7428777287239904
54,2,male,,0,0,15.5792,C,0,0.6994025085371458
55,3,male,10.0,4,1,29.125,Q,0,0.7379556835084125
56,3,male,35.0,0,0,7.8958,S,0,0.8384408990398381
57,3,male,25.0,0,0,7.65,S,0,0.8213614747148912
58,3,male,,1,0,16.1,S,0,0.793581494064576
59,1,female,36.0,0,0,262.375,C,1,0.7378949725864945
60,3,male,17.0,0,0,7.8958,S,0,0.8141451260988346
61,2,male,32.0,0,0,13.5,S,0,0.735173059016462
62,3,male,18.0,0,0,7.75,S,0,0.8100713632194284
63,3,female,22.0,0,0,7.725,Q,1,0.5253642606021676
64,1,male,13.0,2,2,262.375,C,0,0.6096923564659387
65,2,female,,0,0,21.0,S,1,0.6908351447017143
66,3,female,18.0,0,0,7.8792,Q,1,0.5254158274931195
67,1,male,47.0,0,0,42.4,S,0,0.6566941957926152
68,1,male,31.0,0,0,28.5375,C,0,0.629993613137073
69,1,female,60.0,1,4,263.0,S,1,0.7431659477148035
70,3,female,24.0,0,0,7.75,Q,1,0.5253642606021676
71,3,male,21.0,0,0,7.8958,S,0,0.8232773749767036
72,3,female,29.0,0,0,7.925,S,1,0.5130247151714104
73,1,male,28.5,0,0,27.7208,C,0,0.63145281550431
74,1,female,35.0,0,0,211.5,C,1,0.7385597865612455
75,1,male,32.5,0,0,211.5,C,0,0.6141344439811829
76,3,male,,0,0,8.05,S,0,0.8362526964427479
77,1,female,55.0,2,0,25.7,S,1,0.725005864872884
78,2,male,30.0,0,0,13.0,S,0,0.7389743231688038
79,3,female,24.0,0,0,7.75,Q,1,0.5253642606021676
80,3,male,6.0,1,1,15.2458,C,0,0.7340003873317035
81,1,male,67.0,1,0,221.7792,S,0,0.6418017114317016
82,1,male,49.0,0,0,26.0,S,0,0.6718443749728575
83,3,male,,0,0,7.8958,S,0,0.8441382800924093
84,2,male,,0,0,10.7083,Q,0,0.732644081436932
85,3,male,,1,0,14.4542,C,0,0.7630396849638904
86,3,female,27.0,0,0,7.8792,Q,1,0.5249435967250009
87,3,female,18.0,0,0,8.05,S,1,0.5168729230829011
88,3,female,,0,0,7.75,Q,1,0.5241052799950029
89,2,male,2.0,1,1,23.0,S,0,0.7079199944640417
90,3,female,22.0,1,0,13.9,S,1,0.5704435952275738
91,3,male,,0,0,7.775,S,0,0.839633033372925
92,1,female,27.0,1,2,52.0,S,1,0.7388480099633173
93,3,male,,0,0,8.05,S,0,0.8362526964427479
94,1,male,25.0,0,0,26.0,C,0,0.6435028314420493
95,3,male,25.0,0,0,7.7958,S,0,0.8213379954955362
96,1,female,76.0,1,0,78.85,S,1,0.7431659477148035
97,3,male,29.0,0,0,7.925,S,0,0.8291661558830022
98,3,female,20.0,0,0,7.8542,S,1,0.5197863900365767
99,3,male,33.0,0,0,8.05,S,0,0.8307057764469883
100,1,female,43.0,1,0,55.4417,C,1,0.7375066645467039
101,2,male,27.0,1,0,26.0,S,0,0.7129355278677665
102,3,male,,0,0,7.75,Q,0,0.8176182686176263
103,3,male,26.0,0,0,7.775,S,0,0.8213529635370266
104,3,female,16.0,1,1,8.5167,C,1,0.5302402332737298
105,3,male,28.0,0,0,22.525,S,0,0.7856542512511143
106,3,male,21.0,0,0,7.8208,Q,0,0.7986661496037213
107,3,male,,0,0,7.75,Q,0,0.8176182686176263
108,3,male,,0,0,8.7125,S,0,0.8347565631535792
109,2,male,18.5,0,0,13.0,S,0,0.7222618666621261
110,2,male,41.0,0,0,15.0458,C,0,0.7051059453999297
111,3,female,,0,0,7.7792,Q,1,0.5241454891783269
112,1,female,36.0,0,0,31.6792,C,1,0.7276706605070333
113,3,female,18.5,0,0,7.2833,Q,1,0.5257765233424397
114,1,female,63.0,1,0,221.7792,S,1,0.7431659477148035
115,3,male,18.0,1,0,14.4542,C,0,0.7389155247447133
116,3,male,,0,0,6.4375,C,0,0.7931638523214892
117,3,female,1.0,1,1,16.7,S,1,0.5774744179913284
118,1,male,36.0,0,0,75.2417,C,0,0.6159104016046668
119,2,female,29.0,1,0,26.0,S,1,0.7140177806964022
120,2,female,12.0,0,0,15.75,S,1,0.6832409897409408
121,3,male,,1,0,7.75,Q,0,0.8176182686176263
122,1,female,35.0,1,0,57.75,C,1,0.7385597865612455
123,3,male,28.0,0,0,7.25,S,0,0.831486066647691
124,3,male,,0,0,7.75,Q,0,0.8176182686176263
125,3,female,17.0,0,1,16.1,S,1,0.5774744179913284
126,3,male,22.0,0,0,7.7958,S,0,0.8191025610631374
127,3,female,,2,0,23.25,Q,1,0.5872319377816198
128,2,male,42.0,0,0,13.0,S,0,0.7378145966439538
129,3,male,24.0,0,0,8.05,S,0,0.8176937232555221
130,3,male,32.0,0,0,8.05,S,0,0.8306066399119917
131,1,male,53.0,0,0,28.5,C,0,0.6321032807205785
132,3,female,,0,4,25.4667,S,1,0.5876032743876609
133,3,male,,1,0,6.4375,C,0,0.7931638523214892
134,3,male,43.0,0,0,7.8958,S,0,0.838665354764935
135,3,male,24.0,0,0,7.8542,S,0,0.8215152965010234
136,3,male,26.5,0,0,7.225,C,0,0.7768555197252438
137,2,male,26.0,0,0,13.0,S,0,0.7307387656817657
138,3,female,23.0,0,0,8.05,S,1,0.5162373031754516
139,3,male,40.0,1,6,46.9,S,0,0.7731484151368243
140,3,female,10.0,5,2,46.9,S,1,0.602921813384854
141,1,female,33.0,0,0,151.55,S,1,0.7447465664543939
142,1,male,61.0,1,3,262.375,C,0,0.6163829201707732
143,2,male,28.0,0,0,26.0,S,0,0.714944988880249
144,1,male,42.0,0,0,26.55,S,0,0.6580134743337969
145,3,male,31.0,3,0,18.0,S,0,0.7903968036166851
146,1,male,,0,0,51.8625,S,0,0.6484687134799811
147,3,male,22.0,0,0,8.05,S,0,0.8155375766794145
148,1,male,,0,0,26.55,S,0,0.658213340338055
149,2,male,30.0,1,1,26.0,S,0,0.7178487064142323
150,1,female,23.0,0,1,83.1583,C,1,0.735646123866852
151,3,male,,0,0,7.8958,C,0,0.7970477983415394
152,3,male,60.5,0,0,,S,0,0.7731484151368243
153,3,female,36.0,0,2,12.1833,S,1,0.5692795733201187
154,3,male,13.0,4,2,31.3875,S,0,0.7548119141489898
155,3,male,24.0,0,0,7.55,S,0,0.8212821868585999
156,1,female,29.0,0,0,221.7792,S,1,0.743430044664102
157,3,female,23.0,0,0,7.8542,S,1,0.520096445140045
158,1,male,42.0,0,0,26.55,S,0,0.6580134743337969
159,3,female,26.0,0,2,13.775,S,1,0.5705430164056466
160,3,female,,0,0,7.7333,Q,1,0.5241052799950029
161,3,male,7.0,1,1,15.2458,C,0,0.7340003873317035
162,2,female,26.0,0,0,13.5,S,1,0.6803692751692373
163,3,male,,0,0,7.0,S,0,0.8396732425562492
164,2,male,41.0,0,0,13.0,S,0,0.7378145966439538
165,3,female,26.0,1,1,22.025,S,1,0.5849260508826948
166,1,male,48.0,0,0,50.4958,C,0,0.6264290922130267
167,3,male,18.0,2,2,34.375,S,0,0.7548119141489898
168,1,female,,0,0,27.7208,C,1,0.7279976241739828
169,3,female,22.0,0,0,8.9625,S,1,0.5169054598199274
170,3,male,,0,0,7.55,S,0,0.8396732425562492
171,3,male,27.0,0,0,7.225,C,0,0.7772262463004532
172,3,male,23.0,1,0,13.9,S,0,0.7902821109662159
173,3,male,,0,0,7.2292,C,0,0.7931638523214892
174,3,male,40.0,1,5,31.3875,S,0,0.7731484151368243
175,2,female,15.0,0,2,39.0,S,1,0.7132651950456252
176,2,female,20.0,0,0,36.75,S,1,0.7163338700751107
177,1,male,54.0,1,0,55.4417,C,0,0.6163829201707732
178,2,female,36.0,0,3,39.0,S,1,0.7177823988607869
179,1,female,64.0,0,2,83.1583,C,1,0.7375066645467039
180,2,male,30.0,0,0,13.0,S,0,0.7389743231688038
181,1,male,37.0,1,1,83.1583,C,0,0.6163829201707732
182,1,female,18.0,1,0,53.1,S,1,0.7374340976200398
183,3,male,,0,0,7.75,Q,0,0.8176182686176263
184,1,female,27.0,1,1,247.5208,C,1,0.735646123866852
185,2,male,40.0,0,0,16.0,S,0,0.7252316324880373
186,2,female,21.0,0,1,21.0,S,1,0.6876644582614095
187,3,male,17.0,2,0,8.05,S,0,0.8063070505397881
188,3,female,,8,2,69.55,S,1,0.6137665672996659
189,2,male,40.0,0,0,13.0,S,0,0.7378145966439538
190,2,male,34.0,1,0,26.0,S,0,0.7161529527912622
191,1,male,,0,0,26.0,S,0,0.6720442409771155
192,3,male,11.5,1,1,14.5,S,0,0.7789843200968791
193,2,male,61.0,0,0,12.35,Q,0,0.7240302875639086
194,2,male,8.0,0,2,32.5,S,0,0.6924293107046777
195,3,male,33.0,0,0,7.8542,S,0,0.834359432202913
196,1,male,6.0,0,2,134.5,C,0,0.6096923564659387
197,3,female,18.0,0,0,7.775,S,1,0.5207820267060648
198,2,male,23.0,0,0,10.5,S,0,0.7368151361465053
199,3,female,,0,0,8.1125,S,1,0.513810918058251
200,3,female,,0,0,15.5,Q,1,0.5763639499901528
201,3,male,0.33,0,2,14.4,S,0,0.7798237432204483
202,1,male,47.0,1,0,227.525,C,0,0.6163829201707732
203,2,female,8.0,1,1,26.0,S,1,0.7091854991976823
204,2,male,25.0,0,0,10.5,S,0,0.7373245877088225
205,1,male,,0,0,25.7417,C,0,0.6488231490474493
206,3,female,35.0,0,0,7.75,Q,1,0.5240178167374345
207,2,male,24.0,0,0,10.5,S,0,0.7372452998525312
208,1,female,33.0,0,0,27.7208,C,1,0.727611111050424
209,3,male,25.0,0,0,7.8958,S,0,0.8256585947614746
210,3,male,32.0,0,0,22.525,S,0,0.7873248356187608
211,3,male,,0,0,7.05,S,0,0.8396732425562492
212,2,male,17.0,0,0,73.5,S,0,0.6780929990311818
213,2,female,60.0,1,0,26.0,S,1,0.7133143949730535
214,3,female,38.0,4,2,7.775,S,1,0.5183233109024624
215,1,male,42.0,0,0,42.5,S,0,0.6566941957926152
216,3,female,,0,0,7.8792,Q,1,0.5237445841456828
217,1,male,57.0,1,1,164.8667,S,0,0.6418017114317016
218,1,female,50.0,1,1,211.5,C,1,0.7375066645467039
219,3,male,,0,0,8.05,S,0,0.8362526964427479
220,2,female,30.0,1,0,13.8583,C,1,0.6782020518331626
221,3,male,21.0,0,0,8.05,S,0,0.8153917913270423
222,2,female,22.0,0,0,10.5,S,1,0.6652933650022915
223,3,male,21.0,0,0,7.7958,S,0,0.8189567757107652
224,1,female,53.0,0,0,27.4458,C,1,0.7261243792873663
225,3,female,,0,2,15.2458,C,1,0.5792111273368752
226,3,male,23.0,0,0,7.7958,S,0,0.8208285439332191
227,3,female,,0,0,7.75,Q,1,0.5241052799950029
228,3,male,40.5,0,0,15.1,S,0,0.8022205707626134
229,2,male,36.0,0,0,13.0,S,0,0.7373420780778475
230,2,male,14.0,0,0,65.0,S,0,0.6780929990311818
231,1,female,21.0,0,0,26.55,S,1,0.730749763996363
232,3,male,21.0,1,0,6.4958,S,0,0.8189802549301202
233,3,male,,0,0,7.8792,Q,0,0.8179789644669463
234,1,male,39.0,1,0,71.2833,C,0,0.6163829201707732
235,3,male,20.0,0,0,7.8542,S,0,0.8185458702625913
236,1,male,64.0,1,0,75.25,C,0,0.6163829201707732
237,3,male,20.0,0,0,7.225,C,0,0.7736756864469879
238,2,female,18.0,1,1,13.0,S,1,0.6768447596839113
239,1,female,48.0,1,0,106.425,C,1,0.7375066645467039
240,1,female,55.0,0,0,27.7208,C,1,0.7261243792873663
241,2,female,45.0,0,2,30.0,S,1,0.7173940908209964
242,1,male,45.0,1,1,134.5,C,0,0.6163829201707732
243,3,male,,0,0,7.8875,S,0,0.8425487010187785
244,3,male,,1,2,23.45,S,0,0.7905444362380608
245,1,male,41.0,1,0,51.8625,S,0,0.6479359133439865
246,2,female,22.0,0,0,21.0,S,1,0.6876644582614095
247,2,male,42.0,1,1,32.5,S,0,0.7030412201115271
248,2,female,29.0,1,0,26.0,S,1,0.7140177806964022
249,3,female,,1,0,14.4542,C,1,0.5751249060974996
250,2,female,0.92,1,2,27.75,S,1,0.7121072218657488
251,3,male,20.0,0,0,7.925,S,0,0.8152056564079222
252,1,male,27.0,1,0,136.7792,C,0,0.6144876922586407
253,3,male,24.0,0,0,9.325,S,0,0.8142798953102004
254,3,male,32.5,0,0,9.5,S,0,0.8245406526937409
255,3,male,,0,0,7.55,S,0,0.8396732425562492
256,3,male,,0,0,7.75,Q,0,0.8176182686176263
257,3,male,28.0,0,0,8.05,S,0,0.8280655205341898
258,2,female,19.0,0,0,13.0,S,1,0.6792065122980244
259,3,male,21.0,0,0,7.775,S,0,0.818940045746796
260,3,male,36.5,1,0,17.4,S,0,0.7918488382550983
261,3,male,21.0,0,0,7.8542,S,0,0.8192133645725437
262,2,female,29.0,0,2,23.0,S,1,0.696060075659679
263,3,female,1.0,1,1,12.1833,S,1,0.5700763924369654
264,2,male,30.0,0,0,12.7375,C,0,0.7080268297009994
265,3,male,,0,0,7.8958,S,0,0.8441382800924093
266,1,male,,0,0,0.0,S,0,0.7185918084202859
267,3,male,,0,0,7.55,S,0,0.8396732425562492
268,3,female,,0,0,8.05,S,1,0.513652223094678
269,3,male,17.0,0,0,8.6625,S,0,0.805185809713064
270,1,male,46.0,0,0,75.2417,C,0,0.6163829201707732
271,3,male,,0,0,7.75,Q,0,0.8176182686176263
272,1,female,26.0,1,0,136.7792,C,1,0.735646123866852
273,3,female,,1,0,15.5,Q,1,0.5763639499901528
274,3,male,,0,0,7.225,C,0,0.7931638523214892
275,2,female,20.0,1,0,26.0,S,1,0.7122541742271679
276,2,male,28.0,0,0,10.5,S,0,0.7424055869721498
277,2,male,40.0,1,0,26.0,S,0,0.7176016927020629
278,2,male,30.0,1,0,21.0,S,0,0.722601305381062
279,2,male,22.0,0,0,10.5,S,0,0.7350891532764235
280,3,female,23.0,0,0,8.6625,S,1,0.5165305673574828
281,3,male,0.75,1,1,13.775,S,0,0.7798237432204483
282,3,female,,0,0,7.75,Q,1,0.5241052799950029
283,3,female,9.0,1,1,15.2458,C,1,0.5775084780896389
284,3,female,2.0,1,1,20.2125,S,1,0.5782932061157976
285,3,male,36.0,0,0,7.25,S,0,0.8341161067024591
286,3,male,,0,0,7.25,S,0,0.8396732425562492
287,1,male,24.0,1,0,82.2667,S,0,0.6395488711058746
288,3,male,,0,0,7.2292,C,0,0.7931638523214892
289,3,male,,0,0,8.05,S,0,0.8362526964427479
290,1,male,,0,0,39.6,S,0,0.6568940617968733
291,3,female,30.0,0,0,6.95,Q,1,0.5244616487674734
292,3,male,,0,0,7.2292,C,0,0.7931638523214892
293,1,male,53.0,1,1,81.8583,S,0,0.6418017114317016
294,3,male,36.0,0,0,9.5,S,0,0.8246868175140897
295,3,male,26.0,0,0,7.8958,S,0,0.8256902927669342
296,2,female,1.0,1,2,41.5792,C,1,0.7063564030619004
297,3,male,,2,0,21.6792,C,0,0.7536016463778894
298,1,male,30.0,0,0,45.5,S,0,0.6569412095047846
299,3,male,29.0,0,0,7.8542,S,0,0.8323384522480948
300,3,male,32.0,0,0,7.775,S,0,0.8339869768421688
301,2,male,,0,0,15.0458,C,0,0.7054212660196838
302,2,male,43.0,0,1,21.0,S,0,0.7223542916688925
303,3,male,24.0,0,0,8.6625,S,0,0.8165724824287978
304,3,female,,0,0,7.75,Q,1,0.5241052799950029
305,1,female,64.0,1,1,26.55,S,1,0.731453565464481
306,1,male,30.0,1,2,151.55,S,0,0.6424880139179211
307,3,male,0.83,0,1,9.35,S,0,0.8028932225944664
308,1,male,55.0,1,1,93.5,S,0,0.6418017114317016
309,3,female,45.0,1,0,14.1083,S,1,0.5697566975031252
310,3,male,18.0,0,0,8.6625,S,0,0.805185809713064
311,3,male,22.0,0,0,7.225,C,0,0.7744889661093125
312,3,male,,0,0,7.575,S,0,0.8396732425562492
313,3,female,37.0,0,0,7.75,Q,1,0.5240178167374345
314,1,female,55.0,0,0,135.6333,C,1,0.7375066645467039
315,3,female,17.0,0,0,7.7333,Q,1,0.5257765233424397
316,1,male,57.0,1,0,146.5208,C,0,0.6163829201707732
317,2,male,19.0,0,0,10.5,S,0,0.733687742099992
318,3,male,27.0,0,0,7.8542,S,0,0.8218806379436774
319,2,male,22.0,2,0,31.5,S,0,0.6979136869807754
320,3,male,26.0,0,0,7.775,S,0,0.8213529635370266
321,3,male,25.0,0,0,7.2292,C,0,0.7767244005417114
322,2,male,26.0,0,0,13.0,S,0,0.7307387656817657
323,1,male,33.0,0,0,26.55,S,0,0.6558608832469583
324,1,female,39.0,0,0,211.3375,S,1,0.7431659477148035
325,3,male,23.0,0,0,7.05,S,0,0.8208520231525741
326,2,female,12.0,2,1,39.0,S,1,0.7132651950456252
327,1,male,46.0,0,0,79.2,C,0,0.6163829201707732
328,2,male,29.0,1,0,26.0,S,0,0.7155881915479275
329,2,male,21.0,0,0,13.0,S,0,0.7283722120658345
330,2,female,48.0,0,2,36.75,S,1,0.7173940908209964
331,1,male,39.0,0,0,29.7,C,0,0.6315022273960228
332,3,male,,0,0,7.225,C,0,0.7931638523214892
333,3,female,19.0,1,1,15.7417,C,1,0.581359642404125
334,3,male,27.0,0,0,7.8958,S,0,0.8259446483478373
335,1,male,30.0,0,0,26.0,S,0,0.6720913886850269
336,2,male,32.0,0,0,13.0,S,0,0.735173059016462
337,3,male,39.0,0,2,7.2292,C,0,0.7894238946346671
338,2,male,25.0,0,0,31.5,S,0,0.6990423726114147
339,3,male,,0,0,7.2292,C,0,0.7931638523214892
340,2,male,18.0,0,0,10.5,S,0,0.7289788078727152
341,3,male,32.0,0,0,7.5792,S,0,0.834027186025493
342,3,male,,1,9,69.55,S,0,0.7593435520931224
343,1,female,58.0,0,1,512.3292,C,1,0.7375066645467039
344,3,male,,1,1,14.5,S,0,0.8050272711810177
345,3,female,16.0,0,0,7.65,S,1,0.5207418175227408
346,2,male,26.0,0,0,13.0,S,0,0.7307387656817657
347,3,female,38.0,0,0,7.2292,C,1,0.5318054026524832
348,2,male,24.0,0,0,13.5,S,0,0.7305283586419421
349,2,female,31.0,0,0,21.0,S,1,0.6901837635551364
350,1,female,45.0,0,1,63.3583,C,1,0.7375066645467039
351,2,male,25.0,0,0,10.5,S,0,0.7373245877088225
352,2,male,18.0,0,0,73.5,S,0,0.6780929990311818
353,2,male,49.0,1,2,65.0,S,0,0.6883566124629424
354,3,female,0.17,1,2,20.575,S,1,0.5782932061157976
355,1,male,50.0,0,0,26.0,S,0,0.6718443749728575
356,1,female,59.0,2,0,51.4792,S,1,0.7396943315861378
357,3,male,,0,0,7.8792,S,0,0.8400339384055692
358,3,male,,0,0,7.75,Q,0,0.8176182686176263
359,3,female,30.0,1,0,15.55,S,1,0.574936813002692
360,3,male,14.5,8,2,69.55,S,0,0.7395413249241132
361,2,female,24.0,1,1,37.0042,C,1,0.7098809185472265
362,2,female,31.0,0,0,21.0,S,1,0.6901837635551364
363,3,male,27.0,0,0,8.6625,S,0,0.8169378238714518
364,1,female,25.0,1,0,55.4417,C,1,0.735646123866852
365,3,female,,1,9,69.55,S,1,0.6137665672996659
366,3,male,,1,0,14.4583,C,0,0.7630396849638904
367,3,female,22.0,0,0,39.6875,S,1,0.602784334741345
368,1,female,45.0,0,1,59.4,C,1,0.7375066645467039
369,2,male,29.0,0,0,13.8583,C,0,0.7028765389754587
370,2,male,21.0,1,0,11.5,S,0,0.7296808437200722
371,1,female,31.0,0,0,134.5,C,1,0.738589014328507
372,1,male,49.0,0,0,0.0,S,0,0.7148877840091423
373,2,male,44.0,0,0,13.0,S,0,0.7378145966439538
374,1,female,54.0,1,1,81.8583,S,1,0.7431659477148035
375,1,female,45.0,0,0,262.375,C,1,0.7375066645467039
376,3,female,22.0,2,0,8.6625,S,1,0.5165305673574828
377,2,male,21.0,0,0,11.5,S,0,0.7296808437200722
378,1,male,55.0,0,0,50.0,S,0,0.6517862892710566
379,3,male,5.0,4,2,31.3875,S,0,0.7548119141489898
380,3,male,,0,0,7.75,Q,0,0.8176182686176263
381,3,male,26.0,0,0,7.8792,Q,0,0.8011343074209972
382,3,female,,0,0,14.5,S,1,0.5703203183841785
383,3,female,19.0,1,0,16.1,S,1,0.5784443989343658
384,2,male,,0,0,12.875,S,0,0.7394242895241082
385,2,female,24.0,1,2,65.0,S,1,0.7267879469139796
386,3,male,24.0,0,0,7.775,S,0,0.8212419776752757
387,2,male,57.0,0,0,13.0,S,0,0.7378145966439538
388,3,male,21.0,0,0,7.75,Q,0,0.7983606937814466
389,3,male,6.0,3,1,21.075,S,0,0.7668126086501176
390,1,male,23.0,0,0,93.5,S,0,0.6396896118466153
391,1,female,51.0,0,1,39.4,S,1,0.7326115386443575
392,3,male,13.0,0,2,20.25,S,0,0.7677241029481318
393,2,male,47.0,0,0,10.5,S,0,0.7452311515938093
394,3,male,29.0,3,1,22.025,S,0,0.7860654320136192
395,1,female,18.0,1,0,60.0,S,1,0.7380331967191388
396,3,male,24.0,0,0,7.25,Q,0,0.8006626257099264
397,1,female,48.0,1,1,79.2,C,1,0.7375066645467039
398,3,male,22.0,0,0,7.775,S,0,0.8190858310991682
399,3,male,31.0,0,0,7.7333,Q,0,0.8130965698961696
400,1,female,30.0,0,0,164.8667,S,1,0.7453261244069349
401,2,male,38.0,1,0,21.0,S,0,0.7223542916688925
402,1,female,22.0,0,1,59.4,C,1,0.735646123866852
403,1,male,17.0,0,0,47.1,S,0,0.6487310346969424
404,1,male,43.0,1,0,27.7208,C,0,0.6322645860818837
405,2,male,20.0,0,0,13.8625,C,0,0.6958275800174126
406,2,male,23.0,1,0,10.5,S,0,0.7368151361465053
407,1,male,50.0,1,1,211.5,C,0,0.6163829201707732
408,3,female,,0,0,7.7208,Q,1,0.5241052799950029
409,3,female,3.0,1,1,13.775,S,1,0.5705810738710828
410,3,female,,0,0,7.75,Q,1,0.5241052799950029
411,1,female,37.0,1,0,90.0,Q,1,0.7394109369691295
412,3,female,28.0,0,0,7.775,S,1,0.5168627264421233
413,3,male,,0,0,8.05,S,0,0.8362526964427479
414,1,female,39.0,0,0,108.9,C,1,0.7375066645467039
415,3,male,38.5,0,0,7.25,S,0,0.8342003172287747
416,3,male,,0,0,8.05,S,0,0.8362526964427479
417,3,male,,1,1,22.3583,C,0,0.7536016463778894
